Set,Instance,W,H,n,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,NGCUT1,10,10,10,0,0,201,201,201,153,164,164,0.23880597014925373,0.0,0,1,111,129,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT2,10,10,17,0,0,253,253,253,230,230,230,0.09090909090909091,0.0,0,1,1242,1279,50,1,0.0,0.0,0.0,0.001,0.0,0.0,0.002
NGCUT,NGCUT3,10,10,21,0,0,266,266,266,246,247,247,0.07518796992481203,0.0,0,1,250,272,24,7,0.004,0.0,0.0,0.0,0.001,0.0,0.005
NGCUT,NGCUT4,15,10,7,0,0,275,275,275,268,268,268,0.025454545454545455,0.0,0,1,21,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
NGCUT,NGCUT5,15,10,14,0,0,373,373,373,358,358,358,0.040214477211796246,0.0,0,1,19,21,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
NGCUT,NGCUT6,15,10,15,0,0,317,317,317,267,289,289,0.15772870662460567,0.0,0,1,462,488,52,5,0.002,0.001,0.0,0.0,0.0,0.0,0.004
NGCUT,NGCUT7,20,20,8,0,0,430,0,430,430,430,430,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT8,20,20,13,0,0,938,938,938,828,834,834,0.11727078891257996,0.0,0,1,693,743,70,13,0.008,0.002,0.0,0.001,0.0,0.0,0.009
NGCUT,NGCUT9,20,20,18,0,0,962,962,962,924,924,924,0.0395010395010395,0.0,0,1,380,384,6,0,0.0,0.0,0.0,0.001,0.0,0.0,0.001
NGCUT,NGCUT10,30,30,13,0,0,1517,1452,1452,1452,1452,1452,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT11,30,30,15,0,0,1864,1864,1864,1604,1688,1688,0.13948497854077252,0.0,0,1,985,1074,141,9,0.012,0.005,0.0,0.0,0.001,0.0,0.013
