Set,Instance,W,H,n,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,NGCUT1,10,10,10,0,0,201,201,201,153,164,164,0.23880597014925373,0.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.029
NGCUT,NGCUT2,10,10,17,0,2,253,253,253,230,230,230,0.09090909090909091,0.0,0,1,46,46,0,0,0.0,0.0,0.0,0.0,0.001,0.002,0.054
NGCUT,NGCUT3,10,10,21,1,6,266,266,266,246,247,247,0.07518796992481203,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.002,0.029
NGCUT,NGCUT4,15,10,7,0,0,268,0,268,268,268,268,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT5,15,10,14,0,0,358,0,358,358,358,358,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
NGCUT,NGCUT6,15,10,15,0,0,317,317,317,267,289,289,0.15772870662460567,0.0,0,1,45,45,0,0,0.0,0.0,0.0,0.001,0.0,0.002,0.068
NGCUT,NGCUT7,20,20,8,0,0,430,0,430,430,430,430,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT8,20,20,13,0,1,906,906,906,828,834,834,0.08609271523178808,0.0,0,1,186,186,0,0,0.0,0.0,0.0,0.0,0.001,0.001,0.052
NGCUT,NGCUT9,20,20,18,4,12,962,962,962,924,924,924,0.0395010395010395,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.001,0.002,0.0,0.004
NGCUT,NGCUT10,30,30,13,0,0,1517,1452,1452,1452,1452,1452,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT11,30,30,15,0,1,1767,1767,1767,1554,1688,1688,0.12054329371816638,0.0,0,1,15,15,0,0,0.0,0.0,0.0,0.001,0.0,0.0,0.12
NGCUT,NGCUT12,30,30,22,0,2,2012,2012,2012,1865,1865,1865,0.07306163021868788,0.0,0,1,3021,3021,0,0,0.0,0.0,0.0,0.0,0.001,0.001,1.84
HCCUT,HCCUT1,15,15,15,1,6,7016,6014,6014,5827,5827,5827,0.031094113734619223,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
HCCUT,HCCUT2,30,30,7,2,1,1203,1203,1203,1178,1178,1178,0.020781379883624274,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
HCCUT,HCCUT3,30,30,15,0,1,1399,1360,1360,1270,1270,1270,0.0661764705882353,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.012
HCCUT,HCCUT4,40,40,10,1,1,2928,2928,2928,2517,2517,2517,0.1403688524590164,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.006
HCCUT,HCCUT5,40,40,15,0,1,3604,3192,3192,2949,2949,2949,0.07612781954887218,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.01
