Set,Instance,W,H,n,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,NGCUT1,10,10,10,0,0,201,201,201,153,164,164,0.23880597014925373,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.017
NGCUT,NGCUT2,10,10,17,0,0,253,253,253,230,230,230,0.09090909090909091,0.0,0,1,81,81,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.058
NGCUT,NGCUT3,10,10,21,0,0,266,266,266,246,247,247,0.07518796992481203,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
NGCUT,NGCUT4,15,10,7,0,0,275,275,275,268,268,268,0.025454545454545455,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
NGCUT,NGCUT5,15,10,14,0,0,373,373,373,358,358,358,0.040214477211796246,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
NGCUT,NGCUT6,15,10,15,0,0,317,317,317,267,289,289,0.15772870662460567,0.0,0,1,45,45,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.037
NGCUT,NGCUT7,20,20,8,0,0,430,0,430,430,430,430,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,NGCUT8,20,20,13,0,0,938,938,938,828,834,834,0.11727078891257996,0.0,0,1,161,161,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
NGCUT,NGCUT9,20,20,18,0,0,962,962,962,924,924,924,0.0395010395010395,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.009
NGCUT,NGCUT10,30,30,13,0,0,1517,1452,1452,1452,1452,1452,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
