Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
CGCUT,cgcut1_1,15,10,7,0.1,2,0,0,163,139,139,139,139,139,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,cgcut1_2,15,10,7,0.17,3,0,0,163,137,137,137,137,137,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,cgcut1_3,15,10,7,0.25,5,0,0,163,109,109,109,109,109,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,cgcut2_1,40,70,10,0.1,4,0,0,2303,1804,1804,1804,1804,1804,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,cgcut2_2,40,70,10,0.17,7,0,0,2303,1744,1744,1744,1744,1744,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,cgcut2_3,40,70,10,0.25,11,0,0,2303,1537,1537,1537,1537,1537,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,cgcut3_1,40,70,20,0.1,19,0,0,1840,1700,1700,1500,1620,1620,0.11764705882352941,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.014
CGCUT,cgcut3_2,40,70,20,0.17,32,0,0,1840,1680,1680,1480,1500,1500,0.11904761904761904,0.0,0,1,63,63,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.051
CGCUT,cgcut3_3,40,70,20,0.25,47,0,0,1840,1520,1520,1400,1400,1400,0.07894736842105263,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.034
GCUT,gcut1_1,250,250,10,0.1,4,0,0,62488,61677,61677,48368,48368,48368,0.21578546297647422,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.008
