type,instance,W,H,m,n,exploredNodes,generatedNodes,liftCnt,addCutCnt,infeasibleSetSize,checkCnt,opt,feasible,time
CJCM,E00N10,20,20,10,10,0,1,0,0,0,0,1,0,0.002
CJCM,E00N15,20,20,15,15,477,477,0,0,0,0,1,0,0.232
CJCM,E00N23,20,20,23,23,558,558,0,0,0,0,1,0,0.227
CJCM,E00X23,20,20,23,23,1085,1085,5,5,67,889,1,0,0.608
CJCM,E02F17,20,20,17,17,1173,1323,30,30,285,4019,1,1,0.183
CJCM,E02F20,20,20,20,20,21,32,1,1,11,151,1,1,0.048
CJCM,E02F22,20,20,22,22,0,0,0,0,0,0,1,1,0.0
CJCM,E02N20,20,20,20,20,0,0,0,0,0,0,1,0,0.024
CJCM,E03N10,20,20,10,10,0,1,0,0,0,0,1,0,0.004
CJCM,E03N15,20,20,15,15,21,21,0,0,0,0,1,0,0.031
CJCM,E03N16,20,20,16,16,744,744,19,19,204,2782,1,0,0.152
CJCM,E03N17,20,20,17,17,50,50,0,0,0,0,1,0,0.036
CJCM,E03X18,20,20,18,18,1,1,0,0,0,0,1,1,0.02
CJCM,E04F15,20,20,15,15,361,421,2,2,16,234,1,1,0.069
CJCM,E04F17,20,20,17,17,0,0,0,0,0,0,1,1,0.0
CJCM,E04F19,20,20,19,19,0,0,0,0,0,0,1,1,0.0
CJCM,E04F20,20,20,20,20,0,0,0,0,0,0,1,1,0.0
CJCM,E04N15,20,20,15,15,47,47,0,0,0,0,1,0,0.027
CJCM,E04N17,20,20,17,17,0,1,0,0,0,0,1,0,0.01
CJCM,E04N18,20,20,18,18,14,14,0,0,0,0,1,0,0.038
CJCM,E05F15,20,20,15,15,103,132,0,0,0,0,1,1,0.041
CJCM,E05F18,20,20,18,18,0,0,0,0,0,0,1,1,0.002
CJCM,E05F20,20,20,20,20,0,0,0,0,0,0,1,1,0.002
CJCM,E05N15,20,20,15,15,0,0,0,0,0,0,1,0,0.012
CJCM,E05N17,20,20,17,17,211,211,0,0,0,0,1,0,0.053
CJCM,E05X15,20,20,15,15,18,18,0,0,0,0,1,0,0.022
CJCM,E07F15,20,20,15,15,1,1,0,0,0,0,1,1,0.011
CJCM,E07N10,20,20,10,10,0,1,0,0,0,0,1,0,0.002
CJCM,E07N15,20,20,15,15,0,1,0,0,0,0,1,0,0.006
CJCM,E07X15,20,20,15,15,94,94,0,0,0,0,1,0,0.03
CJCM,E08F15,20,20,15,15,1,1,0,0,0,0,1,1,0.013
CJCM,E08N15,20,20,15,15,0,1,0,0,0,0,1,0,0.007
CJCM,E10N10,20,20,10,10,0,1,0,0,0,0,1,0,0.003
CJCM,E10N15,20,20,15,15,0,0,0,0,0,0,1,0,0.006
CJCM,E10X15,20,20,15,15,108,108,0,0,0,0,1,0,0.032
CJCM,E13N10,20,20,10,10,8,8,0,0,0,0,1,0,0.007
CJCM,E13N15,20,20,15,15,502,502,0,0,0,0,1,0,0.054
CJCM,E13X15,20,20,15,15,0,0,0,0,0,0,1,0,0.006
CJCM,E15N10,20,20,10,10,0,0,0,0,0,0,1,0,0.008
CJCM,E15N15,20,20,15,15,4,4,0,0,0,0,1,0,0.012
CJCM,E20F15,20,20,15,15,0,0,0,0,0,0,1,1,0.0
CJCM,E20X15,20,20,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_10I_0W,100,100,10,10,0,0,0,0,0,0,1,0,0.001
MSB-450,OPP_2D_10_2s_10I_10W,100,100,10,10,0,0,0,0,0,0,1,0,0.0
MSB-450,OPP_2D_10_2s_10I_20W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_10I_2W,100,100,10,10,0,0,0,0,0,0,1,0,0.015
MSB-450,OPP_2D_10_2s_10I_30W,100,100,10,10,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_10_2s_10I_40W,100,100,10,10,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_10_2s_10I_4W,100,100,10,10,0,0,0,0,0,0,1,0,0.018
