type,instance,W,H,m,n,exploredNodes,generatedNodes,opt,feasible,time
N,N1a,200,200,17,17,26,43,1,1,0.007
N,N1b,200,200,17,17,20,37,1,1,0.001
N,N1c,200,200,17,17,32,49,1,1,0.001
N,N1d,200,200,17,17,52,69,1,1,0.001
N,N1e,200,200,17,17,20,37,1,1,0.001
N,N2a,200,200,25,25,1138,1163,1,1,0.01
N,N2b,200,200,25,25,120,145,1,1,0.003
N,N2c,200,200,25,25,181,206,1,1,0.003
N,N2d,200,200,25,25,75,100,1,1,0.002
N,N2e,200,200,25,25,779,804,1,1,0.015
N,N3a,200,200,29,29,129,158,1,1,0.003
N,N3b,200,200,29,29,711,740,1,1,0.002
N,N3c,200,200,29,29,2171,2200,1,1,0.003
N,N3d,200,200,29,29,333,362,1,1,0.001
N,N3e,200,200,29,29,564,593,1,1,0.001
N,N4a,200,200,49,49,3471321,3471370,1,1,10.702
N,N4b,200,200,49,49,248061,248110,1,1,0.627
N,N4c,200,200,49,49,2696274,2696323,1,1,7.38
N,N4d,200,200,49,49,1147344,1147393,1,1,2.857
N,N4e,200,200,49,49,3809929,3809978,1,1,9.705
N,N5a,200,200,73,73,57101376,57101414,0,0,307.594
N,N5b,200,200,73,73,58781648,58781683,0,0,308.42
N,N5c,200,200,73,73,56720751,56720789,0,0,308.346
N,N5d,200,200,73,73,55521116,55521151,0,0,308.691
N,N5e,200,200,73,73,56877587,56877628,0,0,308.329
N,N6a,200,200,97,97,44323637,44323685,0,0,307.792
N,N6b,200,200,97,97,42666852,42666884,0,0,308.102
N,N6c,200,200,97,97,67603632,67603700,0,0,307.839
N,N6d,200,200,97,97,69341569,69341648,0,0,308.366
N,N6e,200,200,97,97,72240279,72240341,0,0,307.601
N,N7a,200,200,197,197,72017224,72017398,0,0,308.49
N,N7b,200,200,197,197,37553685,37553882,1,1,65.25
N,N7c,200,200,197,197,81703933,81704103,0,0,308.57
N,N7d,200,200,197,197,39619920,39620117,1,1,81.84
N,N7e,200,200,197,197,67353222,67353376,0,0,308.19
T,T1a,200,200,17,17,851,868,1,1,0
T,T1b,200,200,17,17,52,69,1,1,0
T,T1c,200,200,17,17,30,47,1,1,0
T,T1d,200,200,17,17,640,657,1,1,0
T,T1e,200,200,17,17,23,40,1,1,0
T,T2a,200,200,25,25,649,674,1,1,0.003
T,T2b,200,200,25,25,1376,1401,1,1,0
T,T2c,200,200,25,25,3392,3417,1,1,0.009
T,T2d,200,200,25,25,779,804,1,1,0.003
T,T2e,200,200,25,25,120,145,1,1,0.002
T,T3a,200,200,29,29,333,362,1,1,0
T,T3b,200,200,29,29,4551,4580,1,1,0.003
T,T3c,200,200,29,29,1001,1030,1,1,0
T,T3d,200,200,29,29,1204,1233,1,1,0
T,T3e,200,200,29,29,711,740,1,1,0.004
T,T4a,200,200,49,49,1844476,1844525,1,1,5.029
T,T4b,200,200,49,49,2696274,2696323,1,1,7.398
T,T4c,200,200,49,49,1147344,1147393,1,1,2.863
T,T4d,200,200,49,49,3471321,3471370,1,1,9.769
T,T4e,200,200,49,49,248061,248110,1,1,0.646
T,T5a,200,200,73,73,56732728,56732765,0,0,308.217
T,T5b,200,200,73,73,59963522,59963567,0,0,308.007
T,T5c,200,200,73,73,57070352,57070389,0,0,307.528
T,T5d,200,200,73,73,55551788,55551822,0,0,308.519
T,T5e,200,200,73,73,58781875,58781910,0,0,308.418
T,T6a,200,200,97,97,82103215,82103279,0,0,308.133
T,T6b,200,200,97,97,67624683,67624744,0,0,308.058
T,T6c,200,200,97,97,72256337,72256405,0,0,308.118
T,T6d,200,200,97,97,42634115,42634161,0,0,308.811
T,T6e,200,200,97,97,41108221,41108244,0,0,308.375
T,T7a,200,200,199,199,51472019,51472185,0,0,308.178
T,T7b,200,200,199,199,77360282,77360462,0,0,308.426
T,T7c,200,200,199,199,55219362,55219514,0,0,308.343
T,T7d,200,200,199,199,6865137,6865336,1,1,11.055
T,T7e,200,200,199,199,61650666,61650826,0,0,309.103
C,c1-p1,20,20,16,16,0,0,1,1,0.01
C,c1-p2,20,20,17,17,45766,45783,1,1,0.113
C,c1-p3,20,20,16,16,0,0,1,1,0.001
C,c2-p1,40,15,25,25,3589748,3589773,1,1,1.494
C,c2-p2,40,15,25,25,0,0,1,1,0.015
C,c2-p3,40,15,25,25,0,0,1,1,0.001
C,c3-p1,60,30,28,28,1955,1983,1,1,0.004
C,c3-p2,60,30,29,29,1787291,1787320,1,1,3.115
C,c3-p3,60,30,28,28,54,82,1,1,0.001
C,c4-p1,60,60,49,49,53760,53809,1,1,0.073
C,c4-p2,60,60,49,49,77133272,77133321,1,1,157.716
C,c4-p3,60,60,49,49,1230421,1230470,1,1,1.516
C,c5-p1,60,90,73,73,364975,365048,1,1,0.454
C,c5-p2,60,90,73,73,87971943,87971991,0,0,308.974
C,c5-p3,60,90,73,73,8771,8844,1,1,0.022
C,c6-p1,80,120,97,97,38237082,38237179,1,1,61.145
C,c6-p2,80,120,97,97,85002601,85002675,0,0,307.668
C,c6-p3,80,120,97,97,56737618,56737715,1,1,97.449
C,c7-p1,160,240,196,196,73372766,73372917,0,0,308.059
C,c7-p2,160,240,197,197,88379305,88379490,0,0,308.666
C,c7-p3,160,240,196,196,75893359,75893531,0,0,307.835
