type,instance,W,H,m,n,exploredNodes,generatedNodes,opt,feasible,time
CJCM,E00N10,20,20,10,10,50,50,1,0,0.001
CJCM,E00N15,20,20,15,15,635,635,1,0,0.005
CJCM,E00N23,20,20,23,23,11677277,11677277,1,0,0.982
CJCM,E00X23,20,20,23,23,5213824,5213824,1,0,0.422
CJCM,E02F17,20,20,17,17,6048,6065,1,1,0.008
CJCM,E02F20,20,20,20,20,146,166,1,1,0.026
CJCM,E02F22,20,20,22,22,0,0,1,1,0.0
CJCM,E02N20,20,20,20,20,9217,9217,1,0,0.017
CJCM,E03N10,20,20,10,10,200,200,1,0,0.001
CJCM,E03N15,20,20,15,15,947,947,1,0,0.007
CJCM,E03N16,20,20,16,16,164386,164386,1,0,0.032
CJCM,E03N17,20,20,17,17,483,483,1,0,0.009
CJCM,E03X18,20,20,18,18,780,798,1,1,0.013
CJCM,E04F15,20,20,15,15,1234,1249,1,1,0.007
CJCM,E04F17,20,20,17,17,0,0,1,1,0.001
CJCM,E04F19,20,20,19,19,0,0,1,1,0.0
CJCM,E04F20,20,20,20,20,0,0,1,1,0.001
CJCM,E04N15,20,20,15,15,2560,2560,1,0,0.007
CJCM,E04N17,20,20,17,17,188,188,1,0,0.009
CJCM,E04N18,20,20,18,18,49061,49061,1,0,0.014
CJCM,E05F15,20,20,15,15,92,107,1,1,0.007
CJCM,E05F18,20,20,18,18,0,0,1,1,0.003
CJCM,E05F20,20,20,20,20,0,0,1,1,0.003
CJCM,E05N15,20,20,15,15,16189,16189,1,0,0.008
CJCM,E05N17,20,20,17,17,6329,6329,1,0,0.01
CJCM,E05X15,20,20,15,15,2456,2456,1,0,0.007
CJCM,E07F15,20,20,15,15,1,16,1,1,0.012
CJCM,E07N10,20,20,10,10,55,55,1,0,0.002
CJCM,E07N15,20,20,15,15,198,198,1,0,0.006
CJCM,E07X15,20,20,15,15,2015,2015,1,0,0.006
CJCM,E08F15,20,20,15,15,87,102,1,1,0.007
CJCM,E08N15,20,20,15,15,100,100,1,0,0.007
