Class,id,W,H,n,|E_d|,|E_s|,|SR|,|E_d|',|E_s|',|SR|',|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Violate-Dif,Violate-Same,Value-Error,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
Class01,1,10,10,20,0,0,0,0,0,0,0,0,700000000000,0,700000000000,700000000000,700000000000,700000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class01,2,10,10,20,0,0,0,0,0,0,0,0,1200000000000,1200000000000,1200000000000,1100000000000,1100000000000,1100000000000,0.08333333333333333,0.0,0,1,0,0,0,52,53,1,0,0.003,0.0,0.0,0.003,0.003,0.0,0.009
Class01,3,10,10,20,0,0,1,0,0,1,0,0,225000000000,150000000000,150000000000,100000000000,100000000000,100000000000,0.3333333333333333,0.0,0,1,0,0,0,60,63,5,0,0.001,0.0,0.0,0.001,0.0,0.0,0.003
Class01,4,10,10,20,0,0,0,0,0,0,0,0,900000000000,0,900000000000,900000000000,900000000000,900000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,5,10,10,20,0,0,0,0,0,0,0,0,1000000000000,1000000000000,1000000000000,900000000000,900000000000,900000000000,0.1,0.0,0,1,0,0,0,74,75,1,1,0.01,0.003,0.0,0.0,0.001,0.0,0.011
Class01,6,10,10,20,0,0,0,0,0,0,0,0,700000000000,700000000000,700000000000,600000000000,600000000000,600000000000,0.14285714285714285,0.0,0,1,0,0,0,44,45,1,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,7,10,10,20,0,0,0,0,0,0,0,0,1000000000000,0,1000000000000,1000000000000,1000000000000,1000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,8,10,10,20,0,0,0,0,0,0,0,0,1000000000000,0,1000000000000,1000000000000,1000000000000,1000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class01,9,10,10,20,0,0,0,0,0,0,0,0,700000000000,0,700000000000,700000000000,700000000000,700000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,10,10,10,20,0,0,0,0,0,0,0,0,900000000000,900000000000,900000000000,800000000000,900000000000,900000000000,0.1111111111111111,0.0,0,1,0,0,0,0,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
Class01,11,10,10,40,0,0,0,0,0,0,0,0,110000000000,109999999999,109999999999,100000000000,100000000000,100000000000,0.09090909090082645,0.0,0,1,0,0,0,30527,32682,2918,239,0.287,0.04,0.0,0.0,0.001,0.0,0.294
Class01,12,10,10,40,0,0,0,0,0,0,0,0,179999999998,159999999998,159999999998,100000000000,100000000000,100000000000,0.3749999999921875,0.0,0,1,0,0,0,301,333,53,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,13,10,10,40,0,0,0,0,0,0,0,0,1000000000000,0,1000000000000,1000000000000,1000000000000,1000000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,14,10,10,40,0,0,0,0,0,0,0,0,1200000000000,0,1200000000000,1200000000000,1200000000000,1200000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class01,15,10,10,40,0,0,0,0,0,0,0,0,1100000000000,0,1100000000000,1100000000000,1100000000000,1100000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class01,16,10,10,40,0,0,0,0,0,0,0,0,1500000000000,1500000000000,1500000000000,1400000000000,1400000000000,1400000000000,0.06666666666666667,0.0,0,1,0,0,0,122,123,1,1,0.007,0.001,0.0,0.0,0.001,0.0,0.008
Class01,17,10,10,40,0,0,0,0,0,0,0,0,1400000000000,1400000000000,1400000000000,1300000000000,1400000000000,1400000000000,0.07142857142857142,0.0,0,1,0,0,0,0,14,1,0,0.0,0.0,0.0,0.001,0.001,0.0,0.002
Class01,18,10,10,40,0,0,0,0,0,0,0,0,1300000000000,1300000000000,1300000000000,1200000000000,1300000000000,1300000000000,0.07692307692307693,0.0,0,1,0,0,0,0,13,1,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,19,10,10,40,0,0,0,0,0,0,0,0,1200000000000,1100000000000,1100000000000,1100000000000,1100000000000,1100000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,20,10,10,40,0,0,0,0,0,0,0,0,1400000000000,1400000000000,1400000000000,1300000000000,1400000000000,1400000000000,0.07142857142857142,0.0,0,1,0,0,0,0,14,1,0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
Class01,21,10,10,60,0,0,0,0,0,0,0,0,141666666666,141666666666,141666666666,100000000000,100000000000,100000000000,0.29411764705550175,0.0,0,1,0,0,0,1407,1608,270,9,0.002,0.001,0.0,0.0,0.001,0.0,0.005
Class01,22,10,10,60,0,0,0,0,0,0,0,0,1500000000000,1500000000000,1500000000000,1400000000000,1500000000000,1500000000000,0.06666666666666667,0.0,0,1,0,0,0,0,15,1,0,0.0,0.0,0.0,0.001,0.001,0.0,0.003
Class01,23,10,10,60,0,0,0,0,0,0,0,0,1400000000000,0,1400000000000,1400000000000,1400000000000,1400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.003
Class01,24,10,10,60,0,0,0,0,0,0,0,0,1700000000000,1700000000000,1700000000000,1600000000000,1600000000000,1600000000000,0.058823529411764705,0.0,0,1,0,0,0,115,116,1,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,25,10,10,60,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1500000000000,1500000000000,0.0625,0.0,0,1,0,0,0,162,164,2,1,0.01,0.003,0.0,0.001,0.002,0.0,0.013
Class01,26,10,10,60,0,0,0,0,0,0,0,0,1400000000000,0,1400000000000,1400000000000,1400000000000,1400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class01,27,10,10,60,0,0,0,0,0,0,0,0,133333333332,122222222220,122222222220,100000000000,100000000000,100000000000,0.18181818180330578,0.0,0,1,0,0,0,21351,22474,1662,19,0.013,0.002,0.0,0.0,0.002,0.0,0.02
Class01,28,10,10,60,0,0,0,0,0,0,0,0,1600000000000,1600000000000,1600000000000,1500000000000,1600000000000,1600000000000,0.0625,0.0,0,1,0,0,0,0,16,1,1,0.017,0.006,0.0,0.0,0.002,0.0,0.019
