type,instance,W,H,m,n,exploredNodes,generatedNodes,opt,feasible,time
N,N1a,200,200,17,17,26,43,1,1,0.006
N,N1b,200,200,17,17,20,37,1,1,0.002
N,N1c,200,200,17,17,32,49,1,1,0.001
N,N1d,200,200,17,17,52,69,1,1,0.001
N,N1e,200,200,17,17,20,37,1,1,0
N,N2a,200,200,25,25,1138,1163,1,1,0.002
N,N2b,200,200,25,25,120,145,1,1,0.002
N,N2c,200,200,25,25,181,206,1,1,0.005
N,N2d,200,200,25,25,75,100,1,1,0.004
N,N2e,200,200,25,25,779,804,1,1,0.038
N,N3a,200,200,29,29,129,158,1,1,0
N,N3b,200,200,29,29,711,740,1,1,0.002
N,N3c,200,200,29,29,2171,2200,1,1,0.003
N,N3d,200,200,29,29,333,362,1,1,0.001
N,N3e,200,200,29,29,564,593,1,1,0.002
N,N4a,200,200,49,49,3471321,3471370,1,1,10.434
N,N4b,200,200,49,49,248061,248110,1,1,0.602
N,N4c,200,200,49,49,2696274,2696323,1,1,7.056
N,N4d,200,200,49,49,1147344,1147393,1,1,2.704
N,N4e,200,200,49,49,3809929,3809978,1,1,9.906
N,N5a,200,200,73,73,42585067,42585112,0,0,1200
N,N5b,200,200,73,73,112592366,112592413,0,0,1200.001
N,N5c,200,200,73,73,21547899,21547939,0,0,1200.002
N,N5d,200,200,73,73,57356305,57356351,0,0,1200.002
N,N5e,200,200,73,73,47636364,47636412,0,0,1200.001
N,N6a,200,200,97,97,45496665,45496727,0,0,1200.002
N,N6b,200,200,97,97,48924014,48924065,0,0,1200.003
N,N6c,200,200,97,97,30621776,30621828,0,0,1200
N,N6d,200,200,97,97,46322469,46322530,0,0,1200.002
N,N6e,200,200,97,97,47687146,47687218,0,0,1200.001
N,N7a,200,200,197,197,21467147,21467290,0,0,1200
N,N7b,200,200,197,197,37553685,37553882,1,1,59.344
N,N7c,200,200,197,197,14293060,14293154,0,0,1200.002
N,N7d,200,200,197,197,39619920,39620117,1,1,74.135
N,N7e,200,200,197,197,28655459,28655580,0,0,1200.001
T,T1a,200,200,17,17,851,868,1,1,0.001
T,T1b,200,200,17,17,52,69,1,1,0.001
T,T1c,200,200,17,17,30,47,1,1,0
T,T1d,200,200,17,17,640,657,1,1,0.001
T,T1e,200,200,17,17,23,40,1,1,0
T,T2a,200,200,25,25,649,674,1,1,0
T,T2b,200,200,25,25,1376,1401,1,1,0.003
T,T2c,200,200,25,25,3392,3417,1,1,0.007
T,T2d,200,200,25,25,779,804,1,1,0.003
T,T2e,200,200,25,25,120,145,1,1,0
T,T3a,200,200,29,29,333,362,1,1,0.001
T,T3b,200,200,29,29,4551,4580,1,1,0.01
T,T3c,200,200,29,29,1001,1030,1,1,0.002
T,T3d,200,200,29,29,1204,1233,1,1,0.002
T,T3e,200,200,29,29,711,740,1,1,0.001
T,T4a,200,200,49,49,1844476,1844525,1,1,4.671
T,T4b,200,200,49,49,2696274,2696323,1,1,6.59
T,T4c,200,200,49,49,1147344,1147393,1,1,2.581
T,T4d,200,200,49,49,3471321,3471370,1,1,8.66
T,T4e,200,200,49,49,248061,248110,1,1,0.588
T,T5a,200,200,73,73,24779602,24779641,0,0,1200
T,T5b,200,200,73,73,57416502,57416551,0,0,1200.001
T,T5c,200,200,73,73,40670544,40670590,0,0,1200.002
T,T5d,200,200,73,73,58736377,58736425,0,0,1200.002
T,T5e,200,200,73,73,106501951,106501998,0,0,1200.001
T,T6a,200,200,97,97,42355939,42356013,0,0,1200.002
T,T6b,200,200,97,97,23534596,23534648,0,0,1200.005
T,T6c,200,200,97,97,45611091,45611159,0,0,1200.003
T,T6d,200,200,97,97,52038082,52038133,0,0,1200.002
T,T6e,200,200,97,97,76127967,76128038,0,0,1200.001
T,T7a,200,200,199,199,13716129,13716287,0,0,1200.003
T,T7b,200,200,199,199,32245759,32245906,0,0,1200.003
T,T7c,200,200,199,199,34017370,34017514,0,0,1200.002
T,T7d,200,200,199,199,6865137,6865336,1,1,11.528
T,T7e,200,200,199,199,20302152,20302296,0,0,1200.001
C,c1-p1,20,20,16,16,0,0,1,1,0.008
C,c1-p2,20,20,17,17,5171,5584,1,1,1.072
C,c1-p3,20,20,16,16,0,0,1,1,0.002
C,c2-p1,40,15,25,25,57,76,1,1,0.162
C,c2-p2,40,15,25,25,0,0,1,1,0.004
C,c2-p3,40,15,25,25,0,0,1,1,0
C,c3-p1,60,30,28,28,1955,1983,1,1,0.085
C,c3-p2,60,30,29,29,1787291,1787320,1,1,4.142
C,c3-p3,60,30,28,28,54,82,1,1,0
C,c4-p1,60,60,49,49,53760,53809,1,1,0.059
C,c4-p2,60,60,49,49,77133272,77133321,1,1,149.786
C,c4-p3,60,60,49,49,1230421,1230470,1,1,1.454
C,c5-p1,60,90,73,73,364975,365048,1,1,0.654
C,c5-p2,60,90,73,73,249489789,249489831,0,0,1200.002
C,c5-p3,60,90,73,73,8771,8844,1,1,0.016
C,c6-p1,80,120,97,97,38237082,38237179,1,1,58.28
C,c6-p2,80,120,97,97,151589506,151589577,0,0,1200.001
C,c6-p3,80,120,97,97,56737618,56737715,1,1,91.138
C,c7-p1,160,240,196,196,16793032,16793169,0,0,1200
C,c7-p2,160,240,197,197,13404895,13404996,0,0,1200.002
C,c7-p3,160,240,196,196,48750592,48750747,0,0,1200.003
